stock_code,stock_name,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_5d,win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,stability,score,avg_fwd_10d,win_10d,avg_fwd_20d,win_20d,avg_amount_yuan,candidate_group,is_production_candidate
000547,航天发展,1276,164,7.8,7106.2,9067535.8,124.1,23.1,0.26,7.99,0.669,4.26,0.52,0.327,0.7825598544678254,16.29,0.672,32.01,0.655,3174079302.9333334,A_valid_candidate,True
000657,中钨高新,2703,198,13.7,2396.8,6478443.0,57.4,28.2,-0.0,3.17,0.595,1.71,0.552,0.172,0.7394059176046721,6.19,0.582,11.93,0.731,2322723384.2,A_valid_candidate,True
000426,兴业银锡,3596,234,15.4,2122.5,7632393.4,50.4,30.0,-0.02,2.39,0.635,0.56,0.532,0.072,0.6971728150959706,5.75,0.723,14.13,0.84,2986384561.6666665,A_valid_candidate,True
000807,云铝股份,3677,235,15.6,1113.0,4092489.3,32.0,28.8,-0.07,1.91,0.595,0.5,0.514,0.099,0.6854028592607261,3.75,0.719,6.74,0.813,1470533403.1,A_valid_candidate,True
000572,海马汽车,1957,194,10.1,2414.5,4725092.9,49.4,23.1,-0.08,3.64,0.591,1.74,0.501,0.127,0.6722360660199244,7.65,0.571,14.34,0.661,2542716650.2,A_valid_candidate,True
000510,新金路,1155,144,8.0,921.7,1064610.5,22.4,22.2,0.01,4.39,0.675,0.65,0.571,0.053,0.6546180504488154,8.27,0.681,22.12,0.715,1055919676.8833332,A_valid_candidate,True
000630,铜陵有色,5372,229,23.5,1250.8,6719042.2,28.9,31.3,-0.03,1.18,0.569,-0.12,0.452,-0.021,0.6528757799052829,2.75,0.631,5.63,0.701,1809595686.25,C_beta_only,False
000831,中国稀土,4346,233,18.7,3062.2,13308240.7,71.7,29.2,-0.06,0.93,0.515,-0.16,0.481,-0.023,0.6426769101305856,1.82,0.568,4.49,0.679,1995440674.9666667,C_beta_only,False
000887,中鼎股份,3537,235,15.1,1794.2,6346249.1,46.8,31.7,-0.05,2.0,0.577,0.69,0.437,0.094,0.626018520460326,3.68,0.583,6.13,0.58,711068601.9333333,A_valid_candidate,True
000001,平安银行,6970,234,29.8,1218.7,8494020.8,27.9,37.0,-0.28,0.16,0.502,-0.99,0.426,-0.297,0.6220742832990476,0.32,0.512,0.59,0.53,1100135010.4166667,C_beta_only,False
