date,file,file_size_mb,n_rows,n_stocks,n_buy_ops,n_sell_ops,total_buy_wan,total_sell_wan,n_missing_stock_code,n_missing_direction,n_missing_amount,status
20250102,level2_ops_20250102.csv,0.42,3037,228,1456,1581,2478149.3,2778646.8,0,0,0,ok
20250103,level2_ops_20250103.csv,0.38,2811,211,1350,1461,1751642.5,1906534.8,0,0,0,ok
20250106,level2_ops_20250106.csv,0.31,2278,165,1091,1187,1417130.4,1594185.4,0,0,0,ok
20250107,level2_ops_20250107.csv,0.29,2142,159,1034,1108,1488440.4,1296847.3,0,0,0,ok
20250108,level2_ops_20250108.csv,0.35,2549,177,1300,1249,1762546.7,1872025.4,0,0,0,ok
20250109,level2_ops_20250109.csv,0.28,2049,148,981,1068,1792320.6,1676847.5,0,0,0,ok
20250110,level2_ops_20250110.csv,0.3,2169,177,1058,1111,989753.8,1162195.5,0,0,0,ok
20250113,level2_ops_20250113.csv,0.22,1645,139,796,849,1112280.5,1198467.0,0,0,0,ok
20250114,level2_ops_20250114.csv,0.35,2579,193,1305,1274,2268796.7,2010097.9,0,0,0,ok
20250115,level2_ops_20250115.csv,0.3,2163,159,1041,1122,1378893.7,1505426.2,0,0,0,ok
20250116,level2_ops_20250116.csv,0.33,2395,188,1149,1246,1572863.3,1687424.4,0,0,0,ok
20250117,level2_ops_20250117.csv,0.28,2033,152,1012,1021,1358891.2,1365160.3,0,0,0,ok
20250120,level2_ops_20250120.csv,0.29,2086,162,1028,1058,1481092.8,1530616.0,0,0,0,ok
20250121,level2_ops_20250121.csv,0.27,1995,151,973,1022,1810418.9,1651855.6,0,0,0,ok
20250122,level2_ops_20250122.csv,0.27,1981,153,926,1055,1374842.4,1625225.7,0,0,0,ok
20250123,level2_ops_20250123.csv,0.33,2430,185,1198,1232,1861351.0,2119265.5,0,0,0,ok
20250124,level2_ops_20250124.csv,0.28,2024,158,1049,975,1047043.9,935427.8,0,0,0,ok
20250127,level2_ops_20250127.csv,0.3,2230,176,1068,1162,1380552.1,1607232.6,0,0,0,ok
20250205,level2_ops_20250205.csv,0.31,2255,155,1097,1158,1639895.2,1693329.2,0,0,0,ok
20250206,level2_ops_20250206.csv,0.36,2626,180,1326,1300,1950462.0,1960106.4,0,0,0,ok
20250207,level2_ops_20250207.csv,0.49,3560,213,1798,1762,3188908.1,3149946.4,0,0,0,ok
20250210,level2_ops_20250210.csv,0.46,3331,217,1668,1663,2566979.8,2434109.1,0,0,0,ok
20250211,level2_ops_20250211.csv,0.4,2924,178,1429,1495,2218583.0,2620735.0,0,0,0,ok
