stock_code,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_1d,win_1d,median_fwd_1d,n_fwd_1d,avg_excess_fwd_1d,std_excess_fwd_1d,excess_win_1d,avg_fwd_3d,win_3d,median_fwd_3d,n_fwd_3d,avg_excess_fwd_3d,std_excess_fwd_3d,excess_win_3d,avg_fwd_5d,win_5d,median_fwd_5d,n_fwd_5d,avg_excess_fwd_5d,std_excess_fwd_5d,excess_win_5d,avg_fwd_10d,win_10d,median_fwd_10d,n_fwd_10d,avg_excess_fwd_10d,std_excess_fwd_10d,excess_win_10d,avg_fwd_20d,win_20d,median_fwd_20d,n_fwd_20d,avg_excess_fwd_20d,std_excess_fwd_20d,excess_win_20d,stability,avg_excess_fwd_5d_norm,excess_win_5d_norm,n_buy_ops_norm,stability_norm,score
000547,1276,164,7.8,7106.2,9067535.8,124.1,23.1,0.26,1.69,0.585,0.61,1276,0.86,4.73,0.471,4.95,0.595,1.78,1276,3.01,9.13,0.545,7.99,0.669,2.28,1276,4.35,13.21,0.535,16.29,0.672,4.34,1276,7.58,19.57,0.515,32.01,0.655,10.49,1276,12.67,44.31,0.444,0.329,1.0,0.825622775800712,0.21742453190676347,1.0,0.7911717391215664
301529,782,113,6.9,451.3,352938.0,12.8,23.3,0.11,1.36,0.507,0.09,775,0.92,4.95,0.479,3.92,0.526,0.44,749,2.3,8.75,0.527,5.54,0.599,2.55,735,2.49,12.06,0.525,9.39,0.653,5.06,723,3.2,20.74,0.499,15.76,0.613,15.77,635,5.22,32.73,0.569,0.206,0.7240356083086055,0.7900355871886123,0.123041650745128,0.8599088838268791,0.6372241380117394
000688,989,125,7.9,1018.3,1007098.2,25.6,20.9,-0.18,0.98,0.495,-0.07,967,0.54,4.33,0.488,2.45,0.569,1.41,940,1.18,8.22,0.451,3.9,0.615,3.01,919,1.95,11.52,0.532,8.25,0.605,3.1,833,4.17,18.32,0.509,11.33,0.643,6.41,704,2.57,22.59,0.328,0.169,0.6439169139465875,0.8149466192170821,0.16259075277034774,0.8177676537585421,0.6163456672736835
000657,2703,198,13.7,2396.8,6478443.0,57.4,28.2,-0.0,0.92,0.605,0.59,2683,0.41,3.34,0.51,1.99,0.601,1.04,2647,0.67,6.95,0.496,3.17,0.595,1.93,2615,1.11,9.18,0.519,6.19,0.582,2.65,2524,2.22,13.12,0.513,11.93,0.731,10.23,2367,4.48,15.03,0.609,0.121,0.5192878338278931,0.7686832740213525,0.4900649598777226,0.7630979498861047,0.612642902701718
000510,1155,144,8.0,921.7,1064610.5,22.4,22.2,0.01,0.8,0.515,0.39,1155,0.1,5.14,0.464,2.95,0.64,3.13,1155,0.61,10.0,0.486,4.39,0.675,5.95,1155,0.6,11.34,0.584,8.27,0.681,8.33,1155,0.9,15.36,0.496,22.12,0.715,21.45,1155,1.63,20.4,0.473,0.053,0.443620178041543,1.0,0.19430645777607947,0.6856492027334852,0.5848742830451816
000426,3596,234,15.4,2122.5,7632393.4,50.4,30.0,-0.02,0.44,0.542,0.33,3596,0.07,2.42,0.5,1.48,0.57,0.87,3596,0.26,4.72,0.506,2.39,0.635,1.8,3596,0.11,6.45,0.501,5.75,0.723,4.76,3596,0.59,9.62,0.517,14.13,0.84,11.58,3596,2.43,12.95,0.609,0.017,0.37091988130563797,0.704626334519573,0.6606801681314483,0.6446469248291572,0.5563565789873325
000807,3677,235,15.6,1113.0,4092489.3,32.0,28.8,-0.07,0.48,0.532,0.21,3660,0.14,2.2,0.501,1.2,0.606,1.03,3639,0.1,3.51,0.516,1.91,0.595,1.48,3595,0.08,4.46,0.499,3.75,0.719,4.14,3497,0.09,6.18,0.528,6.74,0.813,7.44,3324,-0.0,7.64,0.463,0.018,0.3664688427299703,0.6975088967971531,0.6761559037065342,0.6457858769931663,0.5556499745717576
000572,1957,194,10.1,2414.5,4725092.9,49.4,23.1,-0.08,0.47,0.462,0.0,1933,-0.06,4.52,0.411,1.78,0.511,0.4,1896,0.26,9.07,0.432,3.64,0.591,2.0,1852,1.24,13.01,0.451,7.65,0.571,1.51,1767,3.46,19.24,0.488,14.34,0.661,6.67,1609,6.49,25.11,0.456,0.095,0.5385756676557863,0.5266903914590748,0.34753534581581963,0.7334851936218678,0.5162929730253877
000630,5372,229,23.5,1250.8,6719042.2,28.9,31.3,-0.03,0.28,0.508,0.24,5335,-0.1,1.82,0.451,0.74,0.523,0.31,5297,-0.34,3.27,0.418,1.18,0.569,0.89,5248,-0.52,4.53,0.417,2.75,0.631,1.66,5086,-0.77,6.09,0.396,5.63,0.701,5.72,4767,-0.79,7.76,0.434,-0.115,0.27744807121661724,0.40569395017793597,1.0,0.49430523917995445,0.48211793745802317
000811,2055,216,9.5,624.1,1282568.2,17.9,26.9,-0.04,0.74,0.577,0.5,2055,0.19,4.66,0.48,2.02,0.549,0.97,2055,0.24,7.79,0.46,3.83,0.567,1.47,2055,0.65,9.97,0.446,7.51,0.637,3.15,2055,1.16,12.06,0.42,20.48,0.684,8.24,2055,5.23,23.4,0.456,0.065,0.45103857566765576,0.508896797153025,0.3662590752770348,0.6993166287015946,0.4762679473385362
