stock_code,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_1d,win_1d,median_fwd_1d,n_fwd_1d,avg_signal_excess_fwd_1d,signal_excess_win_1d,avg_universe_excess_fwd_1d,universe_excess_win_1d,avg_entry_fwd_1d,entry_win_1d,avg_fwd_3d,win_3d,median_fwd_3d,n_fwd_3d,avg_signal_excess_fwd_3d,signal_excess_win_3d,avg_universe_excess_fwd_3d,universe_excess_win_3d,avg_entry_fwd_3d,entry_win_3d,avg_fwd_5d,win_5d,median_fwd_5d,n_fwd_5d,avg_signal_excess_fwd_5d,signal_excess_win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,avg_entry_fwd_5d,entry_win_5d,avg_fwd_10d,win_10d,median_fwd_10d,n_fwd_10d,avg_signal_excess_fwd_10d,signal_excess_win_10d,avg_universe_excess_fwd_10d,universe_excess_win_10d,avg_entry_fwd_10d,entry_win_10d,avg_fwd_20d,win_20d,median_fwd_20d,n_fwd_20d,avg_signal_excess_fwd_20d,signal_excess_win_20d,avg_universe_excess_fwd_20d,universe_excess_win_20d,avg_entry_fwd_20d,entry_win_20d,stability,avg_universe_excess_fwd_5d_norm,universe_excess_win_5d_norm,n_buy_ops_norm,stability_norm,score
000547,1276,164,7.8,7106.2,9067535.8,124.1,23.1,0.26,1.69,0.585,0.61,1276,1.37,0.578,0.86,0.568,1106.94,1.0,4.95,0.595,1.78,1276,4.16,0.576,3.01,0.567,1145.52,1.0,7.99,0.669,2.28,1276,5.97,0.6,4.26,0.52,1181.67,1.0,16.29,0.672,4.34,1276,10.35,0.538,8.22,0.498,1279.78,1.0,32.01,0.655,10.49,1276,16.49,0.479,14.32,0.466,1467.02,1.0,0.327,1.0,0.8632707774798929,0.11789310611928737,1.0,0.7825598544678254
000657,2703,198,13.7,2396.8,6478443.0,57.4,28.2,-0.0,0.92,0.605,0.59,2683,0.77,0.567,0.55,0.552,484.12,1.0,1.99,0.601,1.04,2647,1.64,0.569,1.01,0.544,490.36,1.0,3.17,0.595,1.93,2615,2.62,0.58,1.71,0.552,497.24,1.0,6.19,0.582,2.65,2524,5.23,0.609,3.84,0.55,514.83,1.0,11.93,0.731,10.23,2367,9.75,0.683,8.33,0.641,547.78,1.0,0.172,0.753384912959381,0.9490616621983917,0.33896204492641363,0.855410447761194,0.7394059176046721
000426,3596,234,15.4,2122.5,7632393.4,50.4,30.0,-0.02,0.44,0.542,0.33,3596,0.34,0.509,0.17,0.485,1619.28,1.0,1.48,0.57,0.87,3596,1.03,0.54,0.5,0.489,1637.17,1.0,2.39,0.635,1.8,3596,1.32,0.583,0.56,0.532,1652.81,1.0,5.75,0.723,4.76,3596,2.87,0.635,1.6,0.579,1710.49,1.0,14.13,0.84,11.58,3596,6.12,0.693,4.88,0.648,1853.89,1.0,0.072,0.6421663442940039,0.8954423592493299,0.47730441518202943,0.7621268656716417,0.6971728150959706
000807,3677,235,15.6,1113.0,4092489.3,32.0,28.8,-0.07,0.48,0.532,0.21,3660,0.42,0.529,0.19,0.527,631.27,1.0,1.2,0.606,1.03,3639,0.91,0.59,0.31,0.508,636.43,1.0,1.91,0.595,1.48,3595,1.37,0.576,0.5,0.514,641.42,1.0,3.75,0.719,4.14,3497,2.59,0.633,1.28,0.574,654.55,1.0,6.74,0.813,7.44,3324,4.52,0.743,3.1,0.643,675.83,1.0,0.099,0.6363636363636364,0.8471849865951744,0.4898528272656855,0.7873134328358208,0.6854028592607261
000572,1957,194,10.1,2414.5,4725092.9,49.4,23.1,-0.08,0.47,0.462,0.0,1933,0.38,0.474,-0.03,0.435,365.63,1.0,1.78,0.511,0.4,1896,1.44,0.494,0.41,0.432,371.74,1.0,3.64,0.591,2.0,1852,3.06,0.544,1.74,0.501,380.54,1.0,7.65,0.571,1.51,1767,6.75,0.55,4.75,0.493,399.45,1.0,14.34,0.661,6.67,1609,12.52,0.565,10.53,0.531,430.76,1.0,0.127,0.7562862669245648,0.8123324396782843,0.22339271882261813,0.8134328358208954,0.6722360660199244
000510,1155,144,8.0,921.7,1064610.5,22.4,22.2,0.01,0.8,0.515,0.39,1155,0.53,0.492,-0.03,0.461,1042.33,1.0,2.95,0.64,3.13,1155,1.74,0.568,0.67,0.549,1066.78,1.0,4.39,0.675,5.95,1155,2.25,0.604,0.65,0.571,1083.03,1.0,8.27,0.681,8.33,1155,3.4,0.552,1.03,0.5,1126.76,1.0,22.12,0.715,21.45,1155,5.31,0.491,4.2,0.478,1283.44,1.0,0.053,0.6508704061895552,1.0,0.09914794732765299,0.7444029850746269,0.6546180504488154
000630,5372,229,23.5,1250.8,6719042.2,28.9,31.3,-0.03,0.28,0.508,0.24,5335,0.2,0.517,-0.02,0.469,3139.92,1.0,0.74,0.523,0.31,5297,0.48,0.502,-0.11,0.452,3155.06,1.0,1.18,0.569,0.89,5248,0.71,0.537,-0.12,0.452,3168.57,1.0,2.75,0.631,1.66,5086,1.7,0.566,0.4,0.469,3217.9,1.0,5.63,0.701,5.72,4767,3.57,0.624,2.23,0.588,3307.47,1.0,-0.021,0.5764023210831721,0.6809651474530832,0.7524399690162664,0.6753731343283581,0.6528757799052829
000831,4346,233,18.7,3062.2,13308240.7,71.7,29.2,-0.06,0.11,0.503,0.02,4329,0.11,0.451,-0.05,0.42,319.59,1.0,0.64,0.5,0.03,4294,0.43,0.444,-0.0,0.422,321.81,1.0,0.93,0.515,0.34,4260,0.52,0.511,-0.16,0.481,322.98,1.0,1.82,0.568,0.82,4193,0.83,0.527,-0.31,0.501,326.73,1.0,4.49,0.679,4.13,4022,2.48,0.606,1.14,0.553,337.88,1.0,-0.023,0.5725338491295938,0.7587131367292226,0.5934934159566227,0.6735074626865671,0.6426769101305856
000887,3537,235,15.1,1794.2,6346249.1,46.8,31.7,-0.05,0.36,0.517,0.09,3527,0.27,0.525,0.06,0.486,840.08,1.0,1.26,0.576,1.07,3497,0.92,0.556,0.44,0.492,848.45,1.0,2.0,0.577,1.15,3464,1.34,0.529,0.69,0.437,855.24,1.0,3.68,0.583,2.92,3408,2.52,0.577,1.41,0.509,870.87,1.0,6.13,0.58,3.97,3251,4.15,0.516,2.89,0.505,893.47,1.0,0.094,0.6547388781431335,0.640750670241287,0.4681642137877614,0.7826492537313432,0.626018520460326
000001,6970,234,29.8,1218.7,8494020.8,27.9,37.0,-0.28,-0.01,0.48,0.0,6948,-0.12,0.46,-0.28,0.431,14062.42,1.0,0.08,0.505,0.08,6886,-0.24,0.456,-0.68,0.438,14070.71,1.0,0.16,0.502,0.08,6842,-0.35,0.449,-0.99,0.426,14079.3,1.0,0.32,0.512,0.17,6724,-0.82,0.406,-1.89,0.319,14094.24,1.0,0.59,0.53,0.43,6443,-1.62,0.408,-2.86,0.264,14111.42,1.0,-0.297,0.4922630560928433,0.611260053619303,1.0,0.417910447761194,0.6220742832990476
000766,2943,228,12.9,918.1,2701857.8,24.5,30.9,-0.01,0.11,0.487,-0.04,2919,0.05,0.479,-0.13,0.472,236.23,1.0,0.64,0.461,-0.09,2900,0.37,0.452,-0.06,0.411,238.03,1.0,1.19,0.478,-0.15,2883,0.69,0.508,-0.0,0.496,239.85,1.0,2.3,0.549,1.0,2840,1.34,0.54,0.11,0.438,243.56,1.0,4.85,0.672,3.98,2722,2.71,0.595,1.27,0.512,252.11,1.0,-0.0,0.5880077369439072,0.7989276139410189,0.3761425251742835,0.6949626865671641,0.6196061526514416
300100,3568,231,15.4,2461.6,8782955.7,66.7,30.4,-0.08,0.31,0.47,-0.16,3549,0.21,0.428,0.1,0.423,346.91,1.0,0.9,0.461,-0.63,3514,0.73,0.426,0.45,0.419,348.03,1.0,1.82,0.486,-0.18,3491,1.27,0.45,0.88,0.417,350.57,1.0,3.77,0.546,1.49,3468,2.62,0.48,1.96,0.454,356.72,1.0,6.85,0.586,2.85,3414,4.68,0.471,3.58,0.462,366.03,1.0,0.09,0.6731141199226306,0.5871313672922253,0.47296669248644463,0.7789179104477612,0.6178701876987849
000688,989,125,7.9,1018.3,1007098.2,25.6,20.9,-0.18,0.98,0.495,-0.07,967,0.96,0.526,0.5,0.479,410.28,1.0,2.45,0.569,1.41,940,2.36,0.532,0.82,0.41,418.12,1.0,3.9,0.615,3.01,919,3.84,0.597,1.57,0.474,425.32,1.0,8.25,0.605,3.1,833,8.16,0.571,5.01,0.492,447.09,1.0,11.33,0.643,6.41,704,10.19,0.636,7.8,0.564,462.3,1.0,0.126,0.7398452611218569,0.739946380697051,0.07343144848954299,0.8125,0.6138583083557667
