stock_code,stock_name,n_buy_ops,avg_fwd_5d,win_5d,avg_universe_excess_fwd_5d,stability,score
000547,航天发展,1276,7.99,0.669,4.26,0.327,0.7825598544678254
000657,中钨高新,2703,3.17,0.595,1.71,0.172,0.7394059176046721
000426,兴业银锡,3596,2.39,0.635,0.56,0.072,0.6971728150959706
000807,云铝股份,3677,1.91,0.595,0.5,0.099,0.6854028592607261
000572,海马汽车,1957,3.64,0.591,1.74,0.127,0.6722360660199244
000510,新金路,1155,4.39,0.675,0.65,0.053,0.6546180504488154
000887,中鼎股份,3537,2.0,0.577,0.69,0.094,0.626018520460326
000688,国城矿业,989,3.9,0.615,1.57,0.126,0.6138583083557667
000859,国风新材,1258,2.52,0.575,0.66,0.071,0.6019664794914074
000811,冰轮环境,2055,3.83,0.567,1.12,0.116,0.5995915851047997
000617,中油资本,4046,1.71,0.525,0.44,0.058,0.5965882702235242
000603,盛达资源,1791,2.25,0.556,0.54,0.066,0.58924353888635
000833,粤桂股份,2494,1.68,0.558,0.43,0.051,0.578024686180593
