stock_code,avg_amount_yuan,avg_close_yuan,n_trade_days,first_date,rank,in_zz1000,in_priority25
000063,8236233927.916667,785.9788333333333,60,2025-10-09,1,False,False
000547,3174079302.9333334,274.1378333333333,60,2026-04-07,2,False,True
000426,2986384561.6666665,706.8153333333332,60,2026-04-07,3,False,True
000021,2701466526.4666667,429.37766666666664,60,2025-10-09,4,False,True
000792,2586823137.6,200.66766666666666,60,2025-10-09,5,False,False
000572,2542716650.2,39.033333333333324,60,2025-10-09,6,False,True
000657,2322723384.2,134.62983333333335,60,2025-10-09,7,False,True
000725,2306809990.733333,21.893333333333327,60,2025-10-09,8,False,False
000559,2105597024.6666667,526.8176666666667,60,2025-10-09,9,False,False
000858,2040305742.5833333,2413.7368333333334,60,2025-10-09,10,False,False
000831,1995440674.9666667,207.14700000000005,60,2025-10-09,11,False,False
000630,1809595686.25,177.18133333333336,60,2025-10-09,12,False,True
000776,1643662015.1,144.50966666666667,60,2025-10-09,13,False,True
000158,1631141105.45,65.90383333333334,60,2025-10-09,14,False,False
000100,1586661033.6,16.296000000000003,60,2025-10-09,15,False,False
000651,1583524927.05,9903.103666666664,60,2025-10-09,16,False,False
000681,1477152723.6333334,115.03299999999999,60,2025-10-09,17,True,False
000807,1470533403.1,185.66883333333334,60,2025-10-09,18,False,True
000555,1293141901.3833334,53.27700000000001,60,2025-10-09,19,True,False
000564,1247093589.2333333,32.38283333333333,60,2025-10-09,20,False,False
000617,1189298473.2166667,77.40683333333332,60,2025-10-09,21,False,False
000568,1165808052.4,4907.090500000001,60,2025-10-09,22,False,False
000796,1135624465.0,28.583499999999997,60,2025-10-09,23,False,False
000625,1108205493.1,187.61050000000003,60,2025-10-09,24,False,False
000001,1100135010.4166667,1682.3486666666672,60,2025-10-09,25,False,False
000620,1097156183.2666667,9.194333333333333,60,2025-10-09,26,True,False
000566,1081624651.4666667,69.71983333333334,60,2025-10-09,27,False,False
000034,1080683918.3666666,131.25816666666665,60,2025-10-09,28,False,False
000510,1055919676.8833333,200.60616666666672,60,2026-04-07,29,False,True
000833,1037918141.4666667,38.11549999999999,60,2025-10-09,30,True,True
000859,1035075726.4833333,30.441833333333328,60,2025-10-09,31,False,True
000066,1013631396.8,179.38483333333335,60,2025-10-09,32,False,False
000536,1011790762.0833334,18.9465,60,2025-10-09,33,False,False
000811,996431911.45,515.2574999999999,60,2025-11-06,34,True,True
000002,944228772.6833333,970.0768333333332,60,2025-10-09,35,False,False
000425,939176380.5666667,533.5711666666667,60,2025-10-09,36,False,False
000762,850393530.35,158.4745,60,2025-10-09,37,True,False
000603,807435326.5333333,114.01883333333333,60,2025-10-09,38,True,True
000060,771108372.9666667,229.5756666666667,60,2025-10-09,39,False,True
000688,751340172.4833333,108.88466666666667,60,2025-10-09,40,True,True
000753,742649831.4,94.84966666666666,60,2025-10-09,41,False,False
000783,737788785.2166667,57.13499999999999,60,2025-10-09,42,False,True
000519,723870786.4333333,150.5713333333333,60,2025-10-09,43,False,False
000887,711068601.9333333,205.7835,60,2025-10-09,44,False,True
000661,710054092.8166667,884.5626666666666,60,2025-10-09,45,False,False
000686,694285299.4166666,134.446,60,2025-10-09,46,True,False
000006,690033227.5,581.4171666666666,60,2025-10-09,47,False,False
000636,688207047.3166667,303.09900000000005,60,2025-10-09,48,True,False
000799,684118985.9166666,132.26633333333334,60,2025-10-09,49,False,False
000422,683280252.7333333,206.2458333333333,60,2025-10-09,50,True,False
000078,668121024.9166666,65.62183333333334,60,2025-10-09,51,False,False
000723,643790315.8333334,35.01199999999999,60,2025-10-09,52,False,False
000759,633271366.5333333,55.62749999999999,60,2025-10-09,53,False,False
000155,607397062.8833333,19.066999999999997,60,2025-10-09,54,False,False
000700,594933125.2,192.01749999999998,60,2025-10-09,55,False,False
000157,581066075.8666667,754.1651666666666,60,2025-10-09,56,False,False
